,economy,microsoft,obama,palestine,Others,Top_1%,Top_20%,Top_5%,SentimentHeadline,SentimentTitle,Publish_weekday,Face_pop_rank,LinkedIn_pop_rank
23,0,1,0,0,0,1,0,0,0.0485490952811983,0.147565115677251,2,0,0
24,0,1,0,0,0,1,0,0,0.0836111111111112,0.0171032560502778,2,0,1
25,0,1,0,0,0,1,0,0,-0.0494634903775183,-0.0992063492063492,2,0,1
26,0,1,0,0,0,1,0,0,-0.139583333333333,0.0416666666666667,2,0,1
27,0,1,0,0,0,1,0,0,-0.0960325947752078,0.108253175473055,3,0,1
28,0,1,0,0,0,1,0,0,-0.0199875671583385,-0.0753778361444409,3,0,1
29,0,0,1,0,0,1,0,0,0.0764719112901874,0.18055555555555605,3,1,0
30,0,1,0,0,0,1,0,0,0.130906154785009,0.154179689957742,3,0,1
31,1,0,0,0,0,1,0,0,-0.078192905271403,0.0,3,0,0
32,1,0,0,0,0,1,0,0,-0.14335365966423902,0.166666666666667,4,0,0
33,1,0,0,0,0,1,0,0,0.0963585980796126,0.0,5,0,0
34,0,0,1,0,0,1,0,0,-0.10866478599015301,-0.0608924112035933,0,0,0
35,0,1,0,0,0,1,0,0,0.0472455591261534,0.31622776601683805,1,0,1
36,1,0,0,0,0,1,0,0,0.46183460399189,-0.14363106492851702,1,0,1
37,0,1,0,0,0,1,0,0,0.00625,0.0418914210690928,1,0,1
38,0,1,0,0,0,1,0,0,-0.24181879963563502,-0.0953390962262113,3,0,1
39,0,1,0,0,0,1,0,0,0.075,0.15811388300841903,4,0,0
40,0,0,1,0,0,1,0,0,-0.05,0.0,5,1,0
41,0,0,1,0,0,1,0,0,-0.122572584461365,-0.0833333333333333,5,0,0
42,1,0,0,0,0,1,0,0,0.0870302072445103,-0.13505195642545698,6,0,1
43,0,1,0,0,0,1,0,0,0.15,-0.324759526419165,6,0,1
44,0,1,0,0,0,1,0,0,-0.145180568240167,0.0,0,1,1
45,0,1,0,0,0,1,0,0,0.0,0.0,0,0,1
46,0,0,1,0,0,1,0,0,-0.29342845877090196,-0.0721687836487032,0,0,0
47,0,1,0,0,0,1,0,0,0.0433289122413122,0.10050378152592099,0,0,0
48,0,1,0,0,0,1,0,0,-0.0552773041775994,-0.0883883476483184,0,0,1
49,0,0,1,0,0,1,0,0,-0.0469861573768565,-0.1875,0,0,1
50,1,0,0,0,0,1,0,0,0.21978921071521104,0.0731872925839593,0,0,0
51,0,1,0,0,0,1,0,0,-0.167840376762444,0.0179304784546638,1,0,1
52,0,1,0,0,0,1,0,0,0.0144801676428523,0.0192604234800425,1,0,1
53,1,0,0,0,0,1,0,0,-0.0270791297756226,-0.355756236768943,1,0,1
54,1,0,0,0,0,1,0,0,0.0751256990898654,0.0,1,0,0
55,0,1,0,0,0,1,0,0,0.134829842907502,0.16645938815230701,1,0,1
56,0,1,0,0,0,1,0,0,0.0161458333333333,-0.0883883476483184,1,0,1
57,1,0,0,0,0,1,0,0,0.220618324612149,0.0,1,0,0
58,1,0,0,0,0,1,0,0,-0.16434708390859198,-0.11306675421666099,2,0,1
59,0,1,0,0,0,1,0,0,0.0394068688017798,0.0210492285642051,2,0,1
60,0,1,0,0,0,1,0,0,-0.25625,0.00263523138347354,2,0,1
61,0,1,0,0,0,1,0,0,-0.0997321546401458,-0.17211354973312304,2,0,1
62,0,1,0,0,0,1,0,0,-0.11410886614691,-0.0889390591922357,2,0,1
63,0,1,0,0,0,1,0,0,-0.128808766131515,0.0378814511374338,2,0,1
64,0,1,0,0,0,1,0,0,-0.0867527617235711,-0.210732848254214,3,0,1
65,1,0,0,0,0,1,0,0,-0.0613692339787503,-0.0753778361444409,3,0,1
66,1,0,0,0,0,1,0,0,-0.101041666666667,-0.0769482077307833,3,0,1
67,0,1,0,0,0,1,0,0,-0.165418438888885,-0.207485252990022,4,0,1
68,0,1,0,0,0,1,0,0,-0.1,0.352312748015873,4,0,1
69,0,1,0,0,0,1,0,0,-0.0221195743218945,0.0,4,0,0
70,0,1,0,0,0,1,0,0,-0.0637377439199098,0.469361061710491,4,1,1
71,1,0,0,0,0,1,0,0,0.12048994683829302,-0.108253175473055,5,0,1
72,0,1,0,0,0,1,0,0,0.25139917803599,0.0756569415250571,6,0,1
73,1,0,0,0,0,1,0,0,-0.10177818786788101,0.0,0,0,0
74,0,1,0,0,0,1,0,0,0.0,0.0,0,0,1
75,0,1,0,0,0,1,0,0,-0.0662977430555555,0.00794492468551778,1,0,1
76,0,1,0,0,0,1,0,0,-0.0456435464587638,-0.159130987416042,2,0,0
77,1,0,0,0,0,1,0,0,-0.326019428760454,-0.18490006540841003,2,0,1
78,0,1,0,0,0,1,0,0,-0.293940245722758,-0.00418765756358009,2,0,1
79,0,1,0,0,0,1,0,0,0.0147685912892168,-0.0168029759738649,3,0,0
80,1,0,0,0,0,1,0,0,0.0388172160088865,0.096358000537977,3,0,1
81,1,0,0,0,0,1,0,0,0.0,-0.29331617957486894,4,0,0
82,0,1,0,0,0,1,0,0,-0.02484375,-0.108826750933536,4,0,1
83,1,0,0,0,0,1,0,0,0.111033925485392,0.0558305729060108,4,0,0
84,0,1,0,0,0,1,0,0,-0.073543550676819,-0.0346687622640768,1,0,0
85,0,1,0,0,0,1,0,0,-0.0593966315535698,0.21985202208795301,2,0,1
86,0,0,1,0,0,1,0,0,0.182861213436939,0.176776695296637,2,0,0
87,0,1,0,0,0,1,0,0,-0.05953620902598,0.10013879257199901,3,0,1
88,0,1,0,0,0,1,0,0,0.0633291686383719,0.0790569415042095,3,0,1
89,0,1,0,0,0,1,0,0,0.0510310363079829,0.0376889180722205,3,0,0
90,0,0,1,0,0,1,0,0,0.0440059264950827,-0.208012573584461,3,1,0
91,0,1,0,0,0,1,0,0,0.0740542697787414,0.0833333333333333,3,0,1
92,0,1,0,0,0,1,0,0,0.0235070555689698,-0.11306675421666099,4,0,1
93,0,1,0,0,0,1,0,0,-0.117654889265627,-0.11858541225631401,4,0,1
94,0,0,1,0,0,1,0,0,-0.0921393711116358,-0.5573376365602299,4,0,0
95,0,1,0,0,0,1,0,0,-0.12016490869516,0.0,5,0,1
96,0,1,0,0,0,1,0,0,-0.067925640555673,-0.140024799782208,0,0,1
97,1,0,0,0,0,1,0,0,-0.0640101274409351,0.0,0,0,1
98,0,1,0,0,0,1,0,0,0.0380363119723618,0.0,1,0,1
99,0,1,0,0,0,1,0,0,0.0373214586027182,-0.114267240777113,1,0,1
100,0,1,0,0,0,1,0,0,0.0,-0.11934824056203099,1,0,1
101,1,0,0,0,0,1,0,0,0.04375,-0.0833333333333333,1,0,1
102,0,1,0,0,0,1,0,0,-0.0737495059717982,-0.0833333333333333,1,0,1
103,0,1,0,0,0,1,0,0,-0.18359203494968898,0.222400134944087,3,0,1
104,1,0,0,0,0,1,0,0,-0.09388624169113699,-0.0693375245281536,3,0,1
105,0,1,0,0,0,1,0,0,0.0415356272774752,0.0416666666666667,5,1,1
106,1,0,0,0,0,1,0,0,0.116145833333333,0.27324465602359804,6,0,1
107,0,1,0,0,0,1,0,0,0.10696034525258001,-0.0485071250072666,0,0,1
108,0,1,0,0,0,1,0,0,-0.43352561206379703,-0.197489930698435,1,0,1
109,0,1,0,0,0,1,0,0,-0.174407893817699,-0.145833333333333,1,0,0
110,0,1,0,0,0,1,0,0,0.18504510657743398,0.11858541225631401,1,0,1
111,0,0,1,0,0,1,0,0,0.0447230928235793,-0.007365695637359759,2,0,0
112,0,1,0,0,0,1,0,0,-0.106649424725306,-0.0753778361444409,2,0,0
113,0,0,1,0,0,1,0,0,0.0382732772309872,-0.0833333333333333,2,1,1
114,1,0,0,0,0,1,0,0,0.0133913187437038,0.0,3,0,0
115,0,1,0,0,0,1,0,0,-0.0631516311323901,0.0416666666666667,3,0,1
116,0,1,0,0,0,1,0,0,0.1,-0.167038276195265,4,0,1
117,0,0,1,0,0,1,0,0,-0.165850868000944,0.0,6,1,0
118,1,0,0,0,0,1,0,0,-0.21260501606769,0.15740740740740697,6,0,0
119,0,0,1,0,0,1,0,0,-0.0605271007471231,0.19764235376052397,6,0,0
120,0,1,0,0,0,1,0,0,-0.025,-0.22613350843332297,0,0,1
121,1,0,0,0,0,1,0,0,0.0137012121465845,-0.259807621135332,0,0,1
122,0,1,0,0,0,1,0,0,0.18460286458333303,0.164512139821542,1,0,1
123,0,1,0,0,0,1,0,0,0.19861111111111102,-0.0204401244181952,1,0,0
124,0,0,1,0,0,1,0,0,-0.0124742533197291,-0.11701959237901598,2,0,0
125,0,0,1,0,0,1,0,0,-0.12127777777777803,-0.0395284707521047,2,0,0
126,0,0,1,0,0,1,0,0,0.0,0.105409255338946,2,0,0
127,0,0,1,0,0,1,0,0,0.0,0.573741830007191,3,0,0
128,0,1,0,0,0,1,0,0,-0.0221134490667925,-0.0929846404153643,3,0,1
129,1,0,0,0,0,1,0,0,-0.121448315486349,0.126295371385231,3,0,0
130,0,1,0,0,0,1,0,0,0.0829254340004722,-0.0376889180722205,3,0,0
131,0,1,0,0,0,1,0,0,-0.147697709957095,-0.0883883476483184,3,0,0
132,0,1,0,0,0,1,0,0,-0.10445362772459199,0.13191121325277197,3,0,0
133,0,1,0,0,0,1,0,0,0.0386444120454583,-0.00157037158634242,4,0,1
134,1,0,0,0,0,1,0,0,-0.0266500895444513,-0.122488983734716,4,0,0
135,1,0,0,0,0,1,0,0,0.268407136723414,0.0,5,1,1
136,1,0,0,0,0,1,0,0,0.0636468846521645,-0.10022296571715898,0,0,1
137,1,0,0,0,0,1,0,0,0.075297609857307,0.15811388300841903,0,1,1
138,0,1,0,0,0,1,0,0,-0.13187421785510903,-0.258198889747161,1,0,0
139,0,1,0,0,0,1,0,0,0.0448481716014843,0.117274273429143,1,0,1
140,0,1,0,0,0,1,0,0,-0.0335424312918681,-0.00674913123240978,1,0,1
141,1,0,0,0,0,1,0,0,-0.0864583333333334,-0.0768609153513149,1,0,0
142,0,0,1,0,0,1,0,0,-0.0418617229238579,-0.0625867453574993,1,0,0
143,1,0,0,0,0,1,0,0,0.094721528538923,-0.0419990001741113,1,0,0
144,0,1,0,0,0,1,0,0,0.0576666666666667,-0.139526315054159,1,0,1
145,0,1,0,0,0,1,0,0,-0.140729128114971,-0.33145630368119394,1,0,0
146,0,1,0,0,0,1,0,0,-0.098058067569092,0.0753778361444409,2,0,1
147,0,1,0,0,0,1,0,0,0.0,0.0436019734544249,2,0,1
148,1,0,0,0,0,1,0,0,0.0472455591261534,-0.0994368911043582,2,0,1
149,0,1,0,0,0,1,0,0,-0.049029033784546,-0.051559869461519,3,0,0
150,0,1,0,0,0,1,0,0,0.0651607543928359,-0.0790569415042095,3,0,1
151,1,0,0,0,0,1,0,0,0.11959032153807599,0.0123526471100327,3,0,0
152,0,1,0,0,0,1,0,0,-0.0325803771964179,0.29290916317901095,3,0,1
153,0,1,0,0,0,1,0,0,-0.120998653847891,0.06884509034525599,4,0,1
154,0,1,0,0,0,1,0,0,0.17985180478074,0.0721687836487032,4,0,1
155,0,1,0,0,0,1,0,0,-0.0124675781027349,0.0790569415042095,4,0,1
156,1,0,0,0,0,1,0,0,0.0608778714990122,-0.14363106492851702,5,0,1
157,1,0,0,0,0,1,0,0,-0.107032729643717,0.28125,5,0,0
158,0,1,0,0,0,1,0,0,-0.0732877462472411,0.00992553823338198,6,1,1
159,0,1,0,0,0,1,0,0,-0.0297681045129899,-0.0472455591261534,6,0,1
160,0,1,0,0,0,1,0,0,0.109293887811384,-0.0411754903667757,1,0,0
161,0,1,0,0,0,1,0,0,-0.0451837300643597,-0.0238817844127298,1,0,1
162,1,0,0,0,0,1,0,0,-0.35949177104913205,0.0270632938682637,2,1,1
163,1,0,0,0,0,1,0,0,0.0,-0.125173490714998,2,0,0
164,0,1,0,0,0,1,0,0,-0.0238335580897097,-0.0910815520078661,2,0,1
165,0,1,0,0,0,1,0,0,-0.10704672376292501,-0.108253175473055,2,0,1
166,1,0,0,0,0,1,0,0,-0.2332124956456,-0.12846752994434,2,0,0
167,0,0,1,0,0,1,0,0,-0.0546264324326607,-0.12846752994434,2,0,0
168,1,0,0,0,0,1,0,0,-0.0504995846544478,0.0944911182523068,3,0,1
169,1,0,0,0,0,1,0,0,-0.005705443307345529,-0.0790569415042095,3,0,0
170,0,1,0,0,0,1,0,0,-0.0919621800133441,0.11519797279812599,3,0,1
171,0,1,0,0,0,1,0,0,-0.340797033896654,-0.0834489938099989,3,0,0
172,0,0,1,0,0,1,0,0,0.11328105521722098,0.00845051080186865,3,0,0
173,0,1,0,0,0,1,0,0,-0.12379689211803499,-0.15,3,0,1
174,0,1,0,0,0,1,0,0,-0.0821929584042271,-0.18009372559864498,4,0,1
175,0,1,0,0,0,1,0,0,-0.0496699633899391,-0.145236875482778,4,0,0
176,0,1,0,0,0,1,0,0,-0.112207051711128,0.0,4,0,1
177,0,1,0,0,0,1,0,0,-0.04375,0.0219852022087953,4,0,0
178,0,1,0,0,0,1,0,0,0.0944911182523068,-0.0392592896585629,5,0,1
179,1,0,0,0,0,1,0,0,-0.20412414523193198,-0.33333333333333304,5,0,1
180,0,1,0,0,0,1,0,0,-0.139791666666667,0.0100234421734312,5,0,1
181,1,0,0,0,0,1,0,0,-0.25634915087196597,-0.0395284707521047,6,0,1
182,1,0,0,0,0,1,0,0,-0.0147908575464667,0.324759526419165,0,0,1
183,0,1,0,0,0,1,0,0,-0.0745511258826476,-0.22613350843332297,0,0,0
184,0,0,1,0,0,1,0,0,0.218530734264501,0.0691748238161833,0,0,0
185,0,1,0,0,0,1,0,0,0.0488584974981608,-0.204718782950155,0,0,1
186,0,1,0,0,0,1,0,0,-0.101962548386916,-0.109784413836243,0,0,1
187,0,1,0,0,0,1,0,0,0.094644548725625,0.00200465632139231,0,0,1
188,1,0,0,0,0,1,0,0,-0.113671633376032,0.16187390312018698,1,0,1
189,0,1,0,0,0,1,0,0,0.0,0.0305676368950434,1,0,0
190,1,0,0,0,0,1,0,0,0.0481125224324688,-0.12328833873320098,1,0,0
191,0,1,0,0,0,1,0,0,-0.0112707670365075,0.15811388300841903,2,0,1
192,0,0,1,0,0,1,0,0,-0.19094065395649304,-0.31622776601683805,3,0,0
193,0,1,0,0,0,1,0,0,-0.0965089674623741,0.0790569415042095,3,0,0
194,0,1,0,0,0,1,0,0,-0.101036297108185,0.0833333333333333,3,0,0
195,0,1,0,0,0,1,0,0,-0.0586446789535523,-0.135055608403024,3,0,0
196,1,0,0,0,0,1,0,0,-0.24877630200141698,-0.080327865577876,3,0,0
197,0,1,0,0,0,1,0,0,0.121928941373447,-0.0604593060741869,3,0,1
198,1,0,0,0,0,1,0,0,0.126173368387675,0.188982236504614,3,0,0
199,1,0,0,0,0,1,0,0,-0.23333333333333303,0.0,3,0,1
200,1,0,0,0,0,1,0,0,-0.0623501053300392,-0.10364452469860601,4,0,0
201,1,0,0,0,0,1,0,0,-0.0020238095238094,0.0,4,0,0
202,1,0,0,0,0,1,0,0,0.00467784499489844,-0.281969758031681,4,1,1
203,0,1,0,0,0,1,0,0,-0.109929357380113,0.0,5,1,1
204,1,0,0,0,0,1,0,0,0.16138723620746398,-0.0317796987420704,6,0,1
205,1,0,0,0,0,1,0,0,0.0144798889544044,-0.208333333333333,6,0,0
206,1,0,0,0,0,1,0,0,-0.0711458333333333,-0.11306675421666099,0,0,0
207,0,1,0,0,0,1,0,0,-0.23375,-0.0589255650988791,0,0,0
208,1,0,0,0,0,1,0,0,-0.0586705481884828,-0.084800065662496,1,0,1
209,1,0,0,0,0,1,0,0,0.0276891507291277,-0.197866819879157,1,0,0
210,1,0,0,0,0,1,0,0,0.0448176623377261,0.414970505980044,1,0,0
211,0,1,0,0,0,1,0,0,0.148341525990982,-0.0375879081503662,1,0,0
212,1,0,0,0,0,1,0,0,-0.005315732948748079,-0.17717084672307504,2,0,0
213,0,1,0,0,0,1,0,0,0.014300134853826,0.00462250163521033,2,0,1
214,0,1,0,0,0,1,0,0,0.20347222222222197,0.0,2,0,1
215,1,0,0,0,0,1,0,0,-0.200403132167808,-0.0606103218198939,3,0,0
216,0,0,1,0,0,1,0,0,-0.130244646915849,0.0314074317268505,3,0,0
217,0,1,0,0,0,1,0,0,0.0721687836487032,-0.0711512473537885,4,0,1
218,0,1,0,0,0,1,0,0,-0.267702099297234,-0.150173611111111,4,0,1
219,0,1,0,0,0,1,0,0,0.0773730575737717,0.22613350843332297,5,0,1
220,0,1,0,0,0,1,0,0,-0.0480732716455117,-0.0376889180722205,5,0,1
221,1,0,0,0,0,1,0,0,0.239016539699662,0.0815972222222223,6,0,0
222,0,1,0,0,0,1,0,0,-0.11498555554509599,-0.0242968238283968,0,0,1
223,1,0,0,0,0,1,0,0,0.0302607329101535,0.40824829046386296,2,0,1
224,0,1,0,0,0,1,0,0,0.0387960117968232,0.18056647012539997,3,0,1
225,0,1,0,0,0,1,0,0,-0.0811042553643221,-0.10022296571715898,3,0,1
226,0,1,0,0,0,1,0,0,-0.0489734453108672,0.196296448292815,3,0,1
227,1,0,0,0,0,1,0,0,-0.334154892396726,-0.160177901806937,4,0,1
228,1,0,0,0,0,1,0,0,-0.21974592745656302,0.0,5,0,1
229,0,1,0,0,0,1,0,0,0.0180421959121758,0.28887168343837605,5,0,0
230,1,0,0,0,0,1,0,0,-0.158839780959125,-0.14805605302472902,6,0,1
231,0,0,1,0,0,1,0,0,-0.103642392073277,0.0,6,1,0
232,0,0,1,0,0,1,0,0,0.127471276110982,0.0,0,0,1
233,0,0,1,0,0,1,0,0,-0.052796049468745006,-0.15075567228888198,1,1,1
234,0,1,0,0,0,1,0,0,-0.119534168698732,0.0719460447993393,2,0,1
235,0,1,0,0,0,1,0,0,0.26692708333333304,0.117851130197758,2,0,0
236,1,0,0,0,0,1,0,0,-0.0299820598098365,0.0,2,0,0
237,0,1,0,0,0,1,0,0,0.280609554782752,-0.0439704044175904,3,0,0
238,0,1,0,0,0,1,0,0,0.18768298362864397,0.0143443827637313,4,0,0
239,0,0,1,0,0,1,0,0,-0.1625,-0.0721687836487032,4,0,0
240,1,0,0,0,0,1,0,0,-0.17684129485855804,-0.0164701961467103,5,0,0
241,0,0,1,0,0,1,0,0,0.21579811667609602,0.117851130197758,5,1,1
242,1,0,0,0,0,1,0,0,-0.078192905271403,0.0,6,0,1
243,1,0,0,0,0,1,0,0,0.12375,0.0735668761219727,6,0,1
244,1,0,0,0,0,1,0,0,-0.20663326040528,0.0,0,0,1
245,1,0,0,0,0,1,0,0,-0.185951782726048,0.0,0,0,1
246,1,0,0,0,0,1,0,0,-0.14994712832440302,-0.0096334818862179,0,0,1
247,1,0,0,0,0,1,0,0,0.0442304418135824,-0.142302494707577,1,0,1
248,0,1,0,0,0,1,0,0,-0.0183858876692048,0.13230943668928902,1,0,1
249,0,1,0,0,0,1,0,0,0.131841926388171,0.12488428607592501,2,1,1
250,1,0,0,0,0,1,0,0,-0.0255155181539914,-0.0406459805408479,2,0,1
251,1,0,0,0,0,1,0,0,-0.1325,0.0,4,0,0
252,0,0,1,0,0,1,0,0,0.0533001790889026,0.108703294568288,4,0,0
253,1,0,0,0,0,1,0,0,0.184916630177121,0.0471111475902756,6,0,0
254,1,0,0,0,0,1,0,0,-0.10393534922336001,-0.242884138687643,0,0,1
255,1,0,0,0,0,1,0,0,-0.0364993918173843,0.0,0,0,0
256,0,1,0,0,0,1,0,0,-0.00941210896785403,-0.00694444444444433,0,0,0
257,0,1,0,0,0,1,0,0,-0.0114171490762128,0.169600131324992,1,0,0
258,0,1,0,0,0,1,0,0,-0.0575690107181441,0.12562972690740198,1,0,1
259,1,0,0,0,0,1,0,0,-0.0339072885690819,-0.0433422557830533,1,0,0
260,1,0,0,0,0,1,0,0,0.131917943245034,-0.0787425985435889,3,0,1
261,0,1,0,0,0,1,0,0,-0.0908402615859289,-0.10579090825700099,4,0,0
262,1,0,0,0,0,1,0,0,-0.0662912607362388,0.10022296571715898,4,0,1
263,0,1,0,0,0,1,0,0,-0.22435804731529702,-0.12144206934382198,4,0,1
264,1,0,0,0,0,1,0,0,0.0360843918243516,-0.0441941738241592,5,1,0
265,0,1,0,0,0,1,0,0,-0.0649626437984609,-0.188444590361102,6,0,1
266,0,0,1,0,0,1,0,0,-0.0466578474911809,0.27136021011998696,6,0,0
267,1,0,0,0,0,1,0,0,-0.0741707629954912,0.0941594803170975,6,0,0
268,1,0,0,0,0,1,0,0,-0.118113897815384,0.0,0,0,0
269,1,0,0,0,0,1,0,0,-0.175378930500549,0.0520031433961152,0,0,0
270,0,1,0,0,0,1,0,0,-0.166615646258503,0.37112841983920597,0,0,0
271,0,1,0,0,0,1,0,0,-0.105208333333333,-0.22236461662610002,0,0,1
272,1,0,0,0,0,1,0,0,-0.027080570150819997,-0.053374829573519994,0,0,1
273,0,1,0,0,0,1,0,0,0.035442891525252,-0.10400628679223,2,0,1
274,1,0,0,0,0,1,0,0,-0.395,0.0737847222222222,2,0,0
275,0,1,0,0,0,1,0,0,-0.129979100753541,-0.20414830622452804,2,0,1
276,0,1,0,0,0,1,0,0,-0.12904733891407302,-0.20414830622452804,2,0,0
277,0,1,0,0,0,1,0,0,-0.0673575314054563,-0.18985792478881103,3,0,1
278,1,0,0,0,0,1,0,0,-0.263935347493292,0.0115562540880256,3,0,1
279,0,1,0,0,0,1,0,0,-0.22471640484583602,-0.0671296296296297,3,0,0
280,0,1,0,0,0,1,0,0,-0.10206207261596599,0.0,3,0,0
281,0,0,1,0,0,1,0,0,-0.136663195929971,0.0,4,1,1
282,0,0,1,0,0,1,0,0,0.0326955782312926,0.30070326520293,6,1,0
283,0,1,0,0,0,1,0,0,0.0,-0.0277441202340555,6,1,1
284,1,0,0,0,0,1,0,0,-0.23754368430485603,0.244977967469433,0,1,1
285,1,0,0,0,0,1,0,0,0.0,-0.39375,0,0,0
286,1,0,0,0,0,1,0,0,-0.070164095214017,-0.0236227795630767,0,0,0
287,1,0,0,0,0,1,0,0,-0.106314658974964,0.0724688630455255,0,0,0
288,0,1,0,0,0,1,0,0,-0.4056,-0.0625867453574993,0,0,1
289,0,1,0,0,0,1,0,0,-0.0260643017571343,-0.0790569415042095,0,0,1
290,0,0,1,0,0,1,0,0,-0.10456273907141302,0.0270632938682637,1,0,0
291,1,0,0,0,0,1,0,0,-0.0102062072615966,0.0,1,0,0
292,0,1,0,0,0,1,0,0,-0.0362366195262381,-0.0197642353760524,1,0,1
293,0,1,0,0,0,1,0,0,0.10316525858831599,0.043601973454425,1,0,1
294,0,1,0,0,0,1,0,0,-0.0177417576502412,-0.0988211768802618,1,0,1
295,0,1,0,0,0,1,0,0,-0.11038934743582302,0.03125,2,0,1
296,0,1,0,0,0,1,0,0,0.0379234316856032,-0.31390139574548603,3,0,1
297,1,0,0,0,0,1,0,0,-0.171601618245911,0.179022360843047,4,0,0
298,0,1,0,0,0,1,0,0,-0.0409158544192486,-0.125,4,0,1
299,1,0,0,0,0,1,0,0,-0.12384476496594699,-0.16147765341397302,5,0,1
300,0,1,0,0,0,1,0,0,-0.0982840124979852,0.106966102890286,0,0,1
301,0,1,0,0,0,1,0,0,-0.11732152777777802,-0.0753778361444409,3,0,1
302,0,1,0,0,0,1,0,0,0.00400937686937234,0.166666666666667,4,0,1
303,0,1,0,0,0,1,0,0,0.0637887953849786,0.166666666666667,4,0,0
304,0,1,0,0,0,1,0,0,-0.193432643934429,0.0773398041922786,4,0,1
305,0,0,1,0,0,1,0,0,0.025,0.0219852022087953,0,0,0
306,0,1,0,0,0,1,0,0,0.0875,-0.519701150387687,1,0,0
307,0,0,1,0,0,1,0,0,0.16733200655384,0.0360843918243516,2,0,0
308,0,1,0,0,0,1,0,0,-0.0791666666666666,-0.0753778361444409,2,0,1
309,0,1,0,0,0,1,0,0,0.0303169531295416,-0.0833333333333333,2,0,0
310,0,1,0,0,0,1,0,0,-0.2375,0.34587411908091603,2,0,0
311,0,1,0,0,0,1,0,0,-0.102239110168996,0.10183948915072599,2,0,1
312,0,1,0,0,0,1,0,0,-0.0165728151840597,0.0,3,0,1
313,0,1,0,0,0,1,0,0,0.0266666666666666,0.0833333333333333,3,0,1
314,0,1,0,0,0,1,0,0,0.05279012878007,-0.0397827468540103,3,0,1
315,1,0,0,0,0,1,0,0,0.0187013671541023,0.0,4,0,0
316,1,0,0,0,0,1,0,0,0.0685416666666667,-0.0790569415042095,4,0,1
317,0,0,1,0,0,1,0,0,-0.0254906370967291,-0.158837851386591,5,0,0
318,0,1,0,0,0,1,0,0,0.11694015869002802,-0.31622776601683805,5,0,1
319,0,1,0,0,0,1,0,0,-0.190507468910031,0.340909495596755,5,0,1
320,0,0,1,0,0,1,0,0,0.14,0.37688918072220506,6,0,0
321,0,1,0,0,0,1,0,0,0.139693840090735,0.274850022234349,0,0,1
322,0,1,0,0,0,1,0,0,0.130744090092123,-0.108253175473055,0,1,1
323,0,1,0,0,0,1,0,0,-0.0453051522255671,0.0,0,0,1
324,0,1,0,0,0,1,0,0,-0.13205922933751899,-0.020521391551526002,1,0,1
325,1,0,0,0,0,1,0,0,0.0690323862437081,0.0451054897804395,1,0,1
326,0,1,0,0,0,1,0,0,-0.067925640555673,-0.142467196669044,1,0,1
327,0,0,1,0,0,1,0,0,0.0799502686333539,-0.0833333333333333,1,0,0
328,0,1,0,0,0,1,0,0,0.0,-0.084800065662496,1,0,1
329,0,1,0,0,0,1,0,0,0.0583297511545862,0.206125052083417,2,0,1
330,0,1,0,0,0,1,0,0,-0.075,0.0395284707521047,3,0,1
331,0,1,0,0,0,1,0,0,-0.174870220498214,0.0924500327042048,3,0,1
332,1,0,0,0,0,1,0,0,-0.00850517271799701,0.00790569415042095,4,0,0
